233.995;1.414;134.974;65.331;0;1.386961538;
82.004;2.416;19.67;11.147;0;2.474730769;
431.702;20.083;125.572;74.377;0;1.847423077;
51.732;125.6;134.995;129.142;0;3.023807692;
4.957;44.73;54.552;49.639;0;5.117846154;
5.597;67.539;82.468;75.002;0;5.148153846;
40.117;5.352;18.004;11.487;0;4.995192308;
2.946;2.685;134.884;59.55;0;2.673769231;
1.171;3.381;134.823;60.4;0;3.3675;
0.121;8.497;15.803;14.522;0;5.422923077;
1.093;0.777;134.99;57.63;0;0.768038462;
0.025;16.441;20.082;18.261;0;0.982653846;
29.219;2.038;134.941;63.091;0;2.016230769;
21.057;0.491;134.995;50.553;0;0.486576923;
108.222;7.124;17.197;11.46;0;9.089461538;
80;124.506;134.984;129.664;0;5.930538462;
160.165;112.802;124.8;118.404;0;1.239076923;
175.67;99.602;112.8;105.801;0;1.181346154;
175.67;86.602;99.6;92.601;0;1.170615385;
175.67;73.302;86.599;79.401;0;1.158884615;
175.67;59.903;73.299;66.201;0;1.162692308;
175.67;46.405;59.897;53.001;0;1.187307692;
175.67;33.408;46.395;39.801;0;1.191115385;
175.49;20.017;33.388;26.611;0;1.176384615;
20.32;3.549;6.427;4.94;0;2.237;
20.32;3.549;6.427;4.94;0;2.23;
